"Einheit";"Haus";"Wohnung";"Wohngebiet";"Geschoss";"Wohnfläche";"Raumanzahl";"Dusche";"Wanne";"Aufzug";"Balkon/Terasse";"Einstufung Mietkosten";"Geschlecht";"Einzug";"Wohndauer in Monaten";"Altereinstufung";"Personenanzahl";"Haustier";"Mahnverfahren"
53;2;14;"Innenstadt";"Erdgeschoss";74.73;3;"nein";"ja";"nein";"nein";3;"M";02/01/00;278;5;2;"nein";"ja"
53;2;14;"Innenstadt";"Erdgeschoss";74.73;3;"nein";"ja";"nein";"nein";3;"W";05/01/23;7;5;1;"nein";"nein"
105;2;121;"Innenstadt";"Erdgeschoss";71.53;3;"nein";"ja";"nein";"nein";2;"M";03/01/08;189;4;1;"nein";"nein"
242;1;2;"Innenstadt";"1. Obergeschoss";76.27;3;"ja";"nein";"nein";"ja";3;"W";04/01/20;44;4;1;"nein";"nein"
141;1;3;"Innenstadt";"1. Obergeschoss";82.45;3;"nein";"ja";"nein";"ja";3;"W";04/01/04;193;4;2;"nein";"nein"
141;1;3;"Innenstadt";"1. Obergeschoss";82.45;3;"nein";"ja";"nein";"ja";3;"W";06/01/20;42;3;1;"nein";"nein"
27;4;29;"Innenstadt";"2. Obergeschoss";76.27;3;"ja";"nein";"nein";"ja";3;"M";01/01/71;592;5;3;"nein";"nein"
27;4;29;"Innenstadt";"2. Obergeschoss";76.27;3;"ja";"nein";"nein";"ja";3;"W";03/01/21;33;4;2;"nein";"nein"
127;3;26;"Innenstadt";"2. Obergeschoss";82.45;3;"nein";"ja";"nein";"ja";3;"M";09/01/98;303;3;4;"nein";"nein"
125;5;47;"Innenstadt";"3. Obergeschoss";76.27;3;"ja";"nein";"nein";"ja";3;"M";01/01/01;229;4;3;"nein";"nein"
125;5;47;"Innenstadt";"3. Obergeschoss";76.27;3;"ja";"nein";"nein";"ja";3;"W";01/01/21;35;2;2;"ja";"ja"
141;2;18;"Innenstadt";"3. Obergeschoss";82.45;4;"nein";"ja";"nein";"ja";3;"M";02/01/97;322;4;4;"nein";"nein"
248;1;10;"Innenstadt";"Erdgeschoss";70.01;3;"ja";"ja";"nein";"ja";3;"W";08/01/19;52;4;2;"ja";"nein"
117;3;21;"Innenstadt";"Erdgeschoss";122.86;5;"nein";"ja";"nein";"ja";4;"M";01/01/67;683;5;2;"nein";"nein"
151;2;18;"Innenstadt";"1. Obergeschoss";81.72;4;"nein";"ja";"nein";"ja";3;"W";10/01/03;242;3;4;"nein";"nein"
86;3;21;"Innenstadt";"1. Obergeschoss";120.86;5;"nein";"ja";"nein";"ja";4;"M";07/01/02;257;4;4;"nein";"nein"
63;4;28;"Innenstadt";"2. Obergeschoss";81.72;4;"nein";"ja";"nein";"ja";3;"W";08/01/13;124;3;2;"nein";"nein"
48;3;18;"Innenstadt";"2. Obergeschoss";120.86;5;"nein";"ja";"nein";"ja";4;"W";12/01/01;264;3;5;"nein";"nein"
52;3;18;"Innenstadt";"3. Obergeschoss";81.72;4;"nein";"ja";"nein";"ja";3;"W";03/01/14;117;2;4;"nein";"nein"
124;6;52;"Innenstadt";"3. Obergeschoss";120.86;4;"nein";"ja";"nein";"ja";4;"W";07/01/05;221;4;2;"nein";"nein"
243;1;6;"Innenstadt";"Erdgeschoss";64.76;3;"nein";"ja";"nein";"nein";2;"M";05/01/58;753;5;2;"nein";"nein"
243;1;6;"Innenstadt";"Erdgeschoss";64.76;3;"nein";"ja";"nein";"nein";3;"M";09/01/21;27;2;1;"nein";"nein"
41;3;16;"Innenstadt";"Erdgeschoss";64.29;3;"nein";"ja";"nein";"nein";2;"W";05/01/58;787;5;2;"nein";"nein"
124;1;2;"Innenstadt";"1. Obergeschoss";66.45;3;"ja";"nein";"nein";"ja";3;"W";06/01/20;42;5;1;"nein";"nein"
17;1;6;"Innenstadt";"1. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";3;"M";09/01/99;291;4;3;"nein";"nein"
67;1;6;"Innenstadt";"2. Obergeschoss";66.45;3;"nein";"ja";"nein";"ja";3;"W";03/01/06;213;4;1;"nein";"ja"
165;3;22;"Innenstadt";"2. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";3;"M";06/01/20;42;2;2;"nein";"nein"
114;6;48;"Innenstadt";"3. Obergeschoss";66.45;3;"nein";"ja";"nein";"ja";3;"W";03/01/93;369;5;2;"nein";"nein"
131;4;36;"Innenstadt";"3. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";3;"M";09/01/19;51;2;1;"nein";"ja"
74;2;16;"Innenstadt";"Erdgeschoss";63.27;3;"nein";"ja";"nein";"nein";2;"W";11/01/99;289;5;2;"nein";"nein"
79;3;20;"Innenstadt";"Erdgeschoss";64.29;3;"nein";"ja";"nein";"nein";3;"M";11/01/16;85;4;2;"nein";"nein"
89;2;13;"Innenstadt";"1. Obergeschoss";64.96;3;"nein";"ja";"nein";"ja";2;"W";10/01/65;698;5;2;"nein";"nein"
70;3;33;"Innenstadt";"1. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";3;"W";11/01/14;109;5;1;"nein";"nein"
146;3;24;"Innenstadt";"2. Obergeschoss";64.96;3;"nein";"ja";"nein";"ja";3;"M";12/01/17;72;3;1;"nein";"nein"
169;4;35;"Innenstadt";"2. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";2;"M";01/01/58;744;5;2;"nein";"nein"
169;4;35;"Innenstadt";"2. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";2;"W";02/01/20;39;5;1;"nein";"nein"
208;3;37;"Innenstadt";"3. Obergeschoss";64.96;3;"nein";"ja";"nein";"ja";2;"W";01/01/58;747;5;1;"nein";"nein"
208;3;37;"Innenstadt";"3. Obergeschoss";64.96;3;"nein";"ja";"nein";"ja";3;"M";10/01/20;27;2;1;"nein";"ja"
208;3;37;"Innenstadt";"3. Obergeschoss";64.96;3;"nein";"ja";"nein";"ja";3;"W";06/01/23;6;3;2;"nein";"nein"
179;3;27;"Innenstadt";"3. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";3;"W";09/01/20;39;2;2;"nein";"nein"
94;1;8;"Innenstadt";"Erdgeschoss";64.76;3;"nein";"ja";"nein";"nein";2;"M";01/01/58;791;5;2;"nein";"nein"
243;2;31;"Innenstadt";"Erdgeschoss";64.29;3;"nein";"ja";"nein";"nein";2;"W";05/01/93;367;4;2;"nein";"nein"
3;2;10;"Innenstadt";"1. Obergeschoss";68.81;3;"nein";"ja";"nein";"ja";"\N";"W";01/01/58;791;5;2;"nein";"nein"
169;5;43;"Innenstadt";"1. Obergeschoss";65.98;3;"ja";"nein";"nein";"ja";2;"W";05/01/00;268;5;1;"nein";"nein"
169;5;43;"Innenstadt";"1. Obergeschoss";65.98;3;"ja";"nein";"nein";"ja";3;"M";07/01/23;5;2;1;"nein";"nein"
70;4;30;"Innenstadt";"2. Obergeschoss";68.81;3;"nein";"ja";"nein";"ja";3;"W";01/01/58;765;5;2;"nein";"nein"
70;4;30;"Innenstadt";"2. Obergeschoss";68.81;3;"nein";"ja";"nein";"ja";3;"M";05/01/22;19;3;1;"nein";"nein"
161;3;23;"Innenstadt";"2. Obergeschoss";65.98;3;"nein";"ja";"nein";"ja";2;"M";09/01/18;;2;1;"nein";"nein"
167;2;113;"Innenstadt";"3. Obergeschoss";64.35;3;"nein";"ja";"nein";"ja";3;"W";06/01/16;90;3;2;"ja";"nein"
142;2;15;"Innenstadt";"Erdgeschoss";64.15;3;"ja";"nein";"nein";"nein";3;"W";11/01/09;169;5;1;"nein";"nein"
140;2;15;"Innenstadt";"Erdgeschoss";64.7;3;"nein";"ja";"nein";"nein";2;"M";11/01/97;313;3;2;"nein";"ja"
46;3;16;"Innenstadt";"1. Obergeschoss";66.64;3;"ja";"nein";"nein";"ja";2;"W";07/01/58;758;5;2;"nein";"nein"
46;3;16;"Innenstadt";"1. Obergeschoss";66.64;3;"ja";"nein";"nein";"ja";3;"M";04/01/22;20;4;2;"nein";"nein"
243;2;33;"Innenstadt";"1. Obergeschoss";68.2;3;"ja";"nein";"nein";"ja";3;"M";09/01/80;498;4;2;"nein";"nein"
243;2;33;"Innenstadt";"1. Obergeschoss";68.2;3;"ja";"nein";"nein";"ja";3;"M";02/01/23;10;2;2;"nein";"nein"
79;4;30;"Innenstadt";"2. Obergeschoss";64.7;3;"ja";"nein";"nein";"ja";2;"M";07/01/58;778;5;2;"nein";"nein"
79;4;30;"Innenstadt";"2. Obergeschoss";64.7;3;"ja";"nein";"nein";"ja";3;"W";03/01/24;-2;3;1;"nein";"nein"
207;3;25;"Innenstadt";"2. Obergeschoss";67.95;3;"ja";"nein";"nein";"ja";3;"M";07/01/58;761;5;1;"nein";"nein"
207;3;25;"Innenstadt";"2. Obergeschoss";67.95;3;"ja";"nein";"nein";"ja";3;"M";01/01/23;11;2;1;"nein";"ja"
138;5;46;"Innenstadt";"3. Obergeschoss";64.7;3;"ja";"nein";"nein";"ja";3;"M";08/01/17;76;2;1;"nein";"nein"
80;2;9;"Innenstadt";"3. Obergeschoss";68.75;3;"ja";"nein";"nein";"ja";3;"W";02/01/15;79;2;1;"nein";"ja"
80;2;9;"Innenstadt";"3. Obergeschoss";68.75;3;"ja";"nein";"nein";"ja";3;"M";04/01/22;20;2;1;"nein";"nein"
120;6;55;"Innenstadt";"Erdgeschoss";73.61;3;"nein";"ja";"nein";"ja";3;"W";05/01/01;271;5;1;"nein";"nein"
76;2;22;"Innenstadt";"Erdgeschoss";64.46;3;"ja";"nein";"nein";"nein";2;"W";12/01/09;168;5;1;"nein";"nein"
121;5;42;"Innenstadt";"1. Obergeschoss";73.61;3;"nein";"ja";"nein";"ja";2;"W";02/01/15;97;5;1;"nein";"nein"
121;5;42;"Innenstadt";"1. Obergeschoss";73.61;3;"nein";"ja";"nein";"ja";4;"W";11/01/23;1;4;2;"nein";"nein"
122;2;15;"Innenstadt";"1. Obergeschoss";66.76;3;"nein";"ja";"nein";"ja";2;"W";03/01/92;381;4;1;"nein";"nein"
186;1;2;"Innenstadt";"2. Obergeschoss";73.61;3;"nein";"ja";"nein";"ja";3;"M";06/01/82;498;4;2;"nein";"nein"
64;4;25;"Innenstadt";"2. Obergeschoss";66.76;3;"nein";"ja";"nein";"ja";3;"M";06/01/15;102;2;1;"nein";"nein"
125;7;61;"Innenstadt";"3. Obergeschoss";73.61;3;"ja";"nein";"nein";"ja";3;"M";04/01/17;80;2;1;"nein";"nein"
137;3;26;"Innenstadt";"3. Obergeschoss";66.76;3;"nein";"ja";"nein";"ja";3;"M";10/01/19;30;2;1;"nein";"ja"
137;3;26;"Innenstadt";"3. Obergeschoss";66.76;3;"nein";"ja";"nein";"ja";3;"M";05/01/22;19;2;1;"nein";"nein"
127;3;24;"Innenstadt";"Erdgeschoss";64.74;3;"ja";"nein";"nein";"nein";3;"M";10/01/17;74;4;2;"nein";"nein"
125;8;78;"Innenstadt";"Erdgeschoss";67.23;3;"nein";"ja";"nein";"nein";3;"M";10/01/11;146;3;3;"ja";"nein"
202;3;26;"Innenstadt";"1. Obergeschoss";66.94;3;"nein";"ja";"nein";"ja";3;"M";12/01/86;444;4;3;"nein";"nein"
162;1;1;"Innenstadt";"1. Obergeschoss";70.85;3;"nein";"ja";"nein";"ja";3;"M";04/01/16;76;2;1;"nein";"ja"
162;1;1;"Innenstadt";"1. Obergeschoss";70.85;3;"nein";"ja";"nein";"ja";3;"W";09/01/22;12;2;3;"nein";"nein"
162;1;1;"Innenstadt";"1. Obergeschoss";70.85;3;"nein";"ja";"nein";"ja";3;"W";12/01/23;0;3;3;"nein";"nein"
129;1;10;"Innenstadt";"2. Obergeschoss";66.94;3;"nein";"ja";"nein";"ja";3;"W";04/01/17;80;4;1;"nein";"nein"
104;2;138;"Innenstadt";"2. Obergeschoss";70.85;3;"nein";"ja";"nein";"ja";3;"W";09/01/03;243;5;1;"nein";"nein"
61;4;48;"Innenstadt";"3. Obergeschoss";66.94;3;"nein";"ja";"nein";"ja";3;"M";03/01/15;105;2;1;"nein";"nein"
112;6;42;"Innenstadt";"3. Obergeschoss";70.85;3;"ja";"nein";"nein";"ja";3;"M";12/01/11;144;3;2;"nein";"nein"
103;1;14;"Innenstadt";"Erdgeschoss";71.86;3;"ja";"nein";"nein";"nein";3;"M";03/01/19;33;2;3;"nein";"nein"
103;1;14;"Innenstadt";"Erdgeschoss";71.86;3;"ja";"nein";"nein";"nein";4;"M";04/01/23;8;2;2;"nein";"nein"
7;1;3;"Innenstadt";"Erdgeschoss";59.85;3;"ja";"nein";"nein";"nein";2;"W";06/01/79;534;"\N";1;"nein";"nein"
133;5;42;"Innenstadt";"Erdgeschoss";69.02;3;"nein";"ja";"nein";"nein";3;"W";02/01/09;138;4;2;"nein";"nein"
133;5;42;"Innenstadt";"Erdgeschoss";69.02;3;"nein";"ja";"nein";"nein";3;"M";03/01/21;33;3;3;"nein";"nein"
107;1;5;"Innenstadt";"1. Obergeschoss";74;3;"nein";"ja";"nein";"ja";3;"M";09/01/13;91;3;2;"nein";"nein"
107;1;5;"Innenstadt";"1. Obergeschoss";74;3;"nein";"ja";"nein";"ja";3;"W";09/01/21;27;4;1;"nein";"nein"
160;2;14;"Innenstadt";"1. Obergeschoss";61.99;3;"nein";"ja";"nein";"ja";2;"W";04/01/13;108;4;1;"ja";"ja"
160;2;14;"Innenstadt";"1. Obergeschoss";61.99;3;"nein";"ja";"nein";"ja";3;"W";07/01/22;17;2;2;"ja";"nein"
249;1;24;"Innenstadt";"1. Obergeschoss";71.16;3;"nein";"ja";"nein";"ja";3;"M";09/01/19;16;2;1;"ja";"ja"
249;1;24;"Innenstadt";"1. Obergeschoss";71.16;3;"nein";"ja";"nein";"ja";3;"M";05/01/21;31;3;2;"ja";"nein"
141;4;34;"Innenstadt";"2. Obergeschoss";74;3;"nein";"ja";"nein";"ja";3;"M";08/01/59;772;5;2;"nein";"nein"
